model,steering_mechanism,layer,alpha,n,ER_mean,ER_pct_0,ER_pct_1,ER_pct_2,delta_vs_unsteered,delta_vs_alpha0,EX_mean,EX_pct_0,EX_pct_1,EX_pct_2,IP_mean,IP_pct_0,IP_pct_1,IP_pct_2
mistral7b,IP,7,1.0,200,,,,,0.12,0.12,,,,,0.36,0.82,0.0,0.18
mistral7b,IP,7,2.0,200,,,,,0.16,0.16,,,,,0.4,0.8,0.0,0.2
mistral7b,IP,11,-1.0,200,,,,,-0.0499999999999999,-0.0499999999999999,,,,,0.19,0.905,0.0,0.095
mistral7b,IP,11,0.0,200,,,,,0.0,0.0,,,,,0.24,0.88,0.0,0.12
mistral7b,IP,11,1.0,200,,,,,0.1099999999999999,0.1099999999999999,,,,,0.35,0.825,0.0,0.175
mistral7b,IP,11,2.0,200,,,,,0.21,0.21,,,,,0.45,0.775,0.0,0.225
mistral7b,IP,15,-1.0,200,,,,,-0.0799999999999999,-0.0799999999999999,,,,,0.16,0.92,0.0,0.08
mistral7b,IP,15,0.0,200,,,,,0.0,0.0,,,,,0.24,0.88,0.0,0.12
mistral7b,IP,15,1.0,200,,,,,0.35,0.35,,,,,0.59,0.705,0.0,0.295
mistral7b,IP,15,2.0,200,,,,,1.36,1.36,,,,,1.6,0.2,0.0,0.8
mistral7b,IP,19,-1.0,200,,,,,-0.13,-0.13,,,,,0.11,0.945,0.0,0.055
